Name;Description
Vision;Some kind of vision bonus such as darkvision or low-light vision
Skill;Some kind of skill bonus
Save;Some kind of save bonus
Movement;Some kind of movement bonus
Attack;Some kind of attack bonus
Damage;Some kind of damage bonus
Supernatural Ability;Some kind of supernatural ability
Spell-like Ability;Some kind of spell-like ability
Extraordinary Ability;Some kind of extraordinary ability
Immunity;Some kind of immunity
Resistance;Some kind of resistance
Vulnerability;Some kind of vulnerability
DR;Some kind of damage reduction
SR;Some kind of spell resistance
Other;Some other kind of bonus
