Short Description;Long Description;Link;Trait Classification
Darkvision out to 60 feet;;https://www.d20srd.org/srd/specialAbilities.htm#darkvision;Vision
Immunity to all mind-affecting effects;(charms, compulsions, phantasms, patterns, and morale effects);;Immunity
Immunity to poison;;;Immunity
Immunity to effects;;;Immunity
Immunity to paralysis;;;Immunity
Immunity to stunning;;;Immunity
Immunity to disease;;;Immunity
Immunity to death effects;;;Immunity
Uses its Charisma modifier for Concentration checks;;;Other
Immunity to acid;;;Immunity
Immunity to cold;;;Immunity
Immunity to electricity;;;Immunity
Immunity to fire;;;Immunity
Immunity to sonic;;;Immunity
Immunity to force damage;;;Immunity
Resistance to acid 10;;;Resistance
Resistance to cold 10;;;Resistance
Resistance to electricity 10;;;Resistance
Resistance to fire 10;;;Resistance
Resistance to sonic 10;;;Resistance
Resistance to force damage 10;;;Resistance
Resistance to acid 20;;;Resistance
Resistance to cold 20;;;Resistance
Resistance to electricity 20;;;Resistance
Resistance to fire 20;;;Resistance
Resistance to sonic 20;;;Resistance
Resistance to force damage 20;;;Resistance
Resistance to acid 30;;;Resistance
Resistance to cold 30;;;Resistance
Resistance to electricity 30;;;Resistance
Resistance to fire 30;;;Resistance
Resistance to sonic 30;;;Resistance
Resistance to force damage 30;;;Resistance
Resistance to acid 40;;;Resistance
Resistance to cold 40;;;Resistance
Resistance to electricity 40;;;Resistance
Resistance to fire 40;;;Resistance
Resistance to sonic 40;;;Resistance
Resistance to force damage 40;;;Resistance
+4 racial bonus on saves against poison;;;Save
Protective Aura (Su) - Archon Subtype;Against attacks made or effects created by evil creatures, this ability provides a +4 deflection bonus to AC and a +4 resistance bonus on saving throws to anyone within 20 feet of the angel. Otherwise, it functions as a magic circle against evil effect and a lesser globe of invulnerability, both with a radius of 20 feet (caster level equals angel’s HD). (The defensive benefits from the circle are not included in an angel’s statistics block.);;Supernatural Ability
Low-light vision;;https://www.d20srd.org/srd/specialAbilities.htm#lowLightVision;Vision
Vulnerability to acid;;;Vulnerability
Vulnerability to cold;;;Vulnerability
Vulnerability to electricity;;;Vulnerability
Vulnerability to fire;;;Vulnerability
Vulnerability to sonic;;;Vulnerability
Vulnerability to force damage;;;Vulnerability
